## section1end
## begin version 0.98 source file header             
## generated at 8## from output of MCNPX case mctal_MdFlx3t, described as:   
## mcnpx      2.6.0  05/21/10 17:11:22  247  120500048  9015311837186
##  Debug                                                                          
## Pulse shapes are as calculated with point detector tally for moderator
## 
## headerend
##
## section 1 key
## output reported is for 10x12 viewed area.       
## normalized to  2.0807e+14 p/pulse and  1.000 GeV
## Energy given is center of the bin in a logarithmic
## sense, and wavelength is for that energy.         
## There are 141 points.
## 
##  Energy     Wavelength      Flux      Std. Error      Flux      Std. Error  
##    E             l          f(E)         s(E)         f(l)         s(l)
##    eV        Angstroms       n/sterad/pulse/eV         n/sterad/pulse/Angstrom  
##
  3.1623e-03   5.0859e+00   8.0045e+12   2.0820e+12   9.9540e+09   2.5891e+09
  3.5481e-03   4.8014e+00   9.5134e+12   2.6429e+12   1.4060e+10   3.9061e+09
  3.9811e-03   4.5328e+00   1.0540e+13   2.8147e+12   1.8514e+10   4.9441e+09
  4.4668e-03   4.2792e+00   1.1544e+13   3.4757e+12   2.4100e+10   7.2561e+09
  5.0119e-03   4.0399e+00   1.2819e+13   4.2688e+12   3.1807e+10   1.0592e+10
  5.6234e-03   3.8139e+00   1.4039e+13   4.0862e+12   4.1401e+10   1.2050e+10
  6.3096e-03   3.6005e+00   1.5248e+13   3.8483e+12   5.3440e+10   1.3488e+10
  7.0795e-03   3.3991e+00   1.6317e+13   4.3795e+12   6.7970e+10   1.8242e+10
  7.9433e-03   3.2090e+00   1.7619e+13   3.8878e+12   8.7225e+10   1.9247e+10
  8.9125e-03   3.0295e+00   1.9324e+13   4.8563e+12   1.1370e+11   2.8574e+10
  1.0000e-02   2.8600e+00   2.1008e+13   5.0197e+12   1.4691e+11   3.5103e+10
  1.1220e-02   2.7000e+00   2.3198e+13   5.2040e+12   1.9281e+11   4.3251e+10
  1.2589e-02   2.5490e+00   2.5804e+13   5.5823e+12   2.5489e+11   5.5141e+10
  1.4125e-02   2.4064e+00   2.8272e+13   6.7211e+12   3.3191e+11   7.8905e+10
  1.5849e-02   2.2718e+00   2.9930e+13   6.7625e+12   4.1761e+11   9.4357e+10
  1.7783e-02   2.1447e+00   3.1129e+13   6.9234e+12   5.1621e+11   1.1481e+11
  1.9953e-02   2.0247e+00   3.2038e+13   6.5904e+12   6.3144e+11   1.2989e+11
  2.2387e-02   1.9115e+00   3.3145e+13   6.5110e+12   7.7640e+11   1.5251e+11
  2.5119e-02   1.8045e+00   3.4637e+13   6.2026e+12   9.6429e+11   1.7268e+11
  2.8184e-02   1.7036e+00   3.6854e+13   7.7381e+12   1.2194e+12   2.5604e+11
  3.1623e-02   1.6083e+00   3.6822e+13   7.3320e+12   1.4480e+12   2.8833e+11
  3.5481e-02   1.5183e+00   3.6212e+13   7.3187e+12   1.6925e+12   3.4206e+11
  3.9811e-02   1.4334e+00   3.5860e+13   6.1371e+12   1.9919e+12   3.4090e+11
  4.4668e-02   1.3532e+00   3.4885e+13   6.8663e+12   2.3030e+12   4.5330e+11
  5.0119e-02   1.2775e+00   3.3115e+13   6.6280e+12   2.5983e+12   5.2005e+11
  5.6234e-02   1.2061e+00   3.1158e+13   5.5055e+12   2.9056e+12   5.1341e+11
  6.3096e-02   1.1386e+00   2.8078e+13   5.8331e+12   3.1120e+12   6.4649e+11
  7.0795e-02   1.0749e+00   2.4525e+13   3.7945e+12   3.2306e+12   4.9983e+11
  7.9433e-02   1.0148e+00   2.1163e+13   4.4566e+12   3.3131e+12   6.9769e+11
  8.9125e-02   9.5800e-01   1.7606e+13   3.1953e+12   3.2759e+12   5.9453e+11
  1.0000e-01   9.0441e-01   1.4864e+13   3.1752e+12   3.2870e+12   7.0215e+11
  1.1220e-01   8.5382e-01   1.2308e+13   2.5280e+12   3.2348e+12   6.6442e+11
  1.2589e-01   8.0606e-01   9.7979e+12   2.3869e+12   3.0605e+12   7.4557e+11
  1.4125e-01   7.6097e-01   7.8591e+12   1.6494e+12   2.9177e+12   6.1233e+11
  1.5849e-01   7.1840e-01   6.3250e+12   1.5363e+12   2.7908e+12   6.7784e+11
  1.7783e-01   6.7821e-01   5.2437e+12   1.6133e+12   2.7498e+12   8.4602e+11
  1.9953e-01   6.4027e-01   4.3031e+12   1.2280e+12   2.6819e+12   7.6535e+11
  2.2387e-01   6.0446e-01   3.6462e+12   1.0718e+12   2.7009e+12   7.9391e+11
  2.5119e-01   5.7064e-01   3.1579e+12   7.3667e+11   2.7801e+12   6.4854e+11
  2.8184e-01   5.3872e-01   2.7935e+12   6.7109e+11   2.9229e+12   7.0217e+11
  3.1623e-01   5.0859e-01   2.4606e+12   4.2537e+11   3.0598e+12   5.2897e+11
  3.5481e-01   4.8014e-01   2.1928e+12   3.9480e+11   3.2409e+12   5.8350e+11
  3.9811e-01   4.5328e-01   1.9633e+12   2.9895e+11   3.4486e+12   5.2512e+11
  4.4668e-01   4.2792e-01   1.7602e+12   2.9974e+11   3.6747e+12   6.2576e+11
  5.0119e-01   4.0399e-01   1.5738e+12   2.6493e+11   3.9050e+12   6.5735e+11
  5.6234e-01   3.8139e-01   1.4078e+12   2.1241e+11   4.1515e+12   6.2638e+11
  6.3096e-01   3.6005e-01   1.2614e+12   1.8706e+11   4.4211e+12   6.5560e+11
  7.0795e-01   3.3991e-01   1.1146e+12   1.9077e+11   4.6429e+12   7.9464e+11
  7.9433e-01   3.2090e-01   9.9288e+11   1.2433e+11   4.9154e+12   6.1552e+11
  8.9125e-01   3.0295e-01   8.7196e+11   1.3085e+11   5.1305e+12   7.6992e+11
  1.0000e+00   2.8600e-01   7.7668e+11   1.2591e+11   5.4313e+12   8.8051e+11
  1.1220e+00   2.7000e-01   6.8582e+11   1.1741e+11   5.7000e+12   9.7580e+11
  1.2589e+00   2.5490e-01   6.0811e+11   9.4737e+10   6.0068e+12   9.3580e+11
  1.4125e+00   2.4064e-01   5.3841e+11   8.4893e+10   6.3209e+12   9.9664e+11
  1.5849e+00   2.2718e-01   4.8133e+11   8.4313e+10   6.7159e+12   1.1764e+12
  1.7783e+00   2.1447e-01   4.2598e+11   6.3094e+10   7.0641e+12   1.0463e+12
  1.9953e+00   2.0247e-01   3.7673e+11   5.1347e+10   7.4250e+12   1.0120e+12
  2.2387e+00   1.9115e-01   3.3751e+11   4.6401e+10   7.9059e+12   1.0869e+12
  2.5119e+00   1.8045e-01   2.9642e+11   5.3116e+10   8.2521e+12   1.4787e+12
  2.8184e+00   1.7036e-01   2.6722e+11   3.6922e+10   8.8417e+12   1.2216e+12
  3.1623e+00   1.6083e-01   2.3992e+11   4.6489e+10   9.4345e+12   1.8282e+12
  3.5481e+00   1.5183e-01   2.1404e+11   3.4877e+10   1.0004e+13   1.6301e+12
  3.9811e+00   1.4334e-01   1.9012e+11   3.3703e+10   1.0561e+13   1.8721e+12
